USA_Canada,X,Y
0.0000000000,-118.5858333300,33.4799999760
0.0000000000,-118.5850000000,33.4799999760
0.0000000000,-118.5841666700,33.4799999760
0.0000000000,-118.5833333300,33.4799999760
0.0000000000,-118.5825000000,33.4799999760
0.0000000000,-118.5816666700,33.4799999760
0.0000000000,-118.5808333300,33.4799999760
0.0000000000,-118.5800000000,33.4799999760
0.0000000000,-118.5791666700,33.4799999760
0.0000000000,-118.5783333300,33.4799999760
0.0000000000,-118.5775000000,33.4799999760
0.0000000000,-118.5766666700,33.4799999760
0.0000000000,-118.5758333300,33.4799999760
0.0000000000,-118.5750000000,33.4799999760
0.0000000000,-118.5741666700,33.4799999760
0.0000000000,-118.5733333300,33.4799999760
0.0000000000,-118.5725000000,33.4799999760
0.0000000000,-118.5716666700,33.4799999760
0.0000000000,-118.5708333300,33.4799999760
0.0000000000,-118.5700000000,33.4799999760
0.0000000000,-118.5691666700,33.4799999760
0.0000000000,-118.5683333300,33.4799999760
0.0000000000,-118.5675000000,33.4799999760
0.0000000000,-118.5666666700,33.4799999760
0.0000000000,-118.5658333300,33.4799999760
0.0000000000,-118.5650000000,33.4799999760
0.0000000000,-118.5641666700,33.4799999760
0.0000000000,-118.5633333300,33.4799999760
0.0000000000,-118.5625000000,33.4799999760
0.0000000000,-118.5616666700,33.4799999760
0.0000000000,-118.5608333300,33.4799999760
0.0000000000,-118.5600000000,33.4799999760
0.0000000000,-118.5591666700,33.4799999760
0.0000000000,-118.5583333300,33.4799999760
0.0000000000,-118.5575000000,33.4799999760
0.0000000000,-118.5566666700,33.4799999760
0.0000000000,-118.5558333300,33.4799999760
0.0000000000,-118.5550000000,33.4799999760
0.0000000000,-118.5541666700,33.4799999760
0.0000000000,-118.5533333300,33.4799999760
0.0000000000,-118.5525000000,33.4799999760
0.0000000000,-118.5516666700,33.4799999760
0.0000000000,-118.5508333300,33.4799999760
0.0000000000,-118.5500000000,33.4799999760
0.0000000000,-118.5491666700,33.4799999760
0.0000000000,-118.5483333300,33.4799999760
0.0000000000,-118.5475000000,33.4799999760
0.0000000000,-118.5466666700,33.4799999760
0.0000000000,-118.5458333300,33.4799999760
0.0000000000,-118.5450000000,33.4799999760
0.0000000000,-118.5441666700,33.4799999760
0.0000000000,-118.5433333300,33.4799999760
0.0000000000,-118.5425000000,33.4799999760
0.0000000000,-118.5416666700,33.4799999760
0.0000000000,-118.5408333300,33.4799999760
0.0000000000,-118.5400000000,33.4799999760
0.0000000000,-118.5391666700,33.4799999760
0.0000000000,-118.5383333300,33.4799999760
0.0000000000,-118.5375000000,33.4799999760
0.0000000000,-118.5366666700,33.4799999760
0.0000000000,-118.5358333300,33.4799999760
0.0000000000,-118.5350000000,33.4799999760
0.0000000000,-118.5341666700,33.4799999760
0.0000000000,-118.5333333300,33.4799999760
0.0000000000,-118.5325000000,33.4799999760
0.0000000000,-118.5316666700,33.4799999760
0.0000000000,-118.5308333300,33.4799999760
0.0000000000,-118.5300000000,33.4799999760
0.0000000000,-118.5291666700,33.4799999760
0.0000000000,-118.5283333300,33.4799999760
0.0000000000,-118.5275000000,33.4799999760
0.0000000000,-118.5266666700,33.4799999760
0.0000000000,-118.5258333300,33.4799999760
0.0000000000,-118.5250000000,33.4799999760
0.0000000000,-118.5241666700,33.4799999760
0.0000000000,-118.5233333300,33.4799999760
0.0000000000,-118.5225000000,33.4799999760
0.0000000000,-118.5216666700,33.4799999760
0.0000000000,-118.5208333300,33.4799999760
0.0000000000,-118.5200000000,33.4799999760
0.0000000000,-118.5191666700,33.4799999760
0.0000000000,-118.5183333300,33.4799999760
0.0000000000,-118.5175000000,33.4799999760
0.0000000000,-118.5166666700,33.4799999760
0.0000000000,-118.5158333300,33.4799999760
0.0000000000,-118.5150000000,33.4799999760
0.0000000000,-118.5141666700,33.4799999760
0.0000000000,-118.5133333300,33.4799999760
0.0000000000,-118.5125000000,33.4799999760
0.0000000000,-118.5116666700,33.4799999760
0.0000000000,-118.5108333300,33.4799999760
0.0000000000,-118.5100000000,33.4799999760
0.0000000000,-118.5091666700,33.4799999760
0.0000000000,-118.5083333300,33.4799999760
0.0000000000,-118.5075000000,33.4799999760
0.0000000000,-118.5066666700,33.4799999760
0.0000000000,-118.5058333300,33.4799999760
0.0000000000,-118.5050000000,33.4799999760
0.0000000000,-118.5041666700,33.4799999760
0.0000000000,-118.5033333300,33.4799999760
0.0000000000,-118.5025000000,33.4799999760
0.0000000000,-118.5016666700,33.4799999760
0.0000000000,-118.5008333300,33.4799999760
0.0000000000,-118.5000000000,33.4799999760
0.0000000000,-118.4991666700,33.4799999760
0.0000000000,-118.4983333300,33.4799999760
0.0000000000,-118.4975000000,33.4799999760
0.0000000000,-118.4966666700,33.4799999760
0.0000000000,-118.4958333300,33.4799999760
0.0000000000,-118.4950000000,33.4799999760
0.0000000000,-118.4941666700,33.4799999760
0.0000000000,-118.4933333300,33.4799999760
0.0000000000,-118.4925000000,33.4799999760
0.0000000000,-118.4916666700,33.4799999760
0.0000000000,-118.4908333300,33.4799999760
0.0000000000,-118.4900000000,33.4799999760
0.0000000000,-118.4891666700,33.4799999760
0.0000000000,-118.4883333300,33.4799999760
0.0000000000,-118.4875000000,33.4799999760
0.0000000000,-118.4866666700,33.4799999760
0.0000000000,-118.4858333300,33.4799999760
0.0000000000,-118.4850000000,33.4799999760
0.0000000000,-118.4841666700,33.4799999760
0.0000000000,-118.4833333300,33.4799999760
0.0000000000,-118.4825000000,33.4799999760
0.0000000000,-118.4816666700,33.4799999760
0.0000000000,-118.4808333300,33.4799999760
0.0000000000,-118.4800000000,33.4799999760
0.0000000000,-118.4791666700,33.4799999760
0.0000000000,-118.4783333300,33.4799999760
0.0000000000,-118.4775000000,33.4799999760
0.0000000000,-118.4766666700,33.4799999760
0.0000000000,-118.4758333300,33.4799999760
0.0000000000,-118.4750000000,33.4799999760
0.0000000000,-118.4741666700,33.4799999760
0.0000000000,-118.4733333300,33.4799999760
0.0000000000,-118.4725000000,33.4799999760
0.0000000000,-118.4716666700,33.4799999760
0.0000000000,-118.4708333300,33.4799999760
0.0000000000,-118.4700000000,33.4799999760
0.0000000000,-118.4691666700,33.4799999760
0.0000000000,-118.4683333300,33.4799999760
0.0000000000,-118.4675000000,33.4799999760
0.0000000000,-118.4666666700,33.4799999760
0.0000000000,-118.4658333300,33.4799999760
0.0000000000,-118.4650000000,33.4799999760
0.0000000000,-118.4641666700,33.4799999760
0.0000000000,-118.4633333300,33.4799999760
0.0000000000,-118.4625000000,33.4799999760
0.0000000000,-118.4616666700,33.4799999760
0.0000000000,-118.4608333300,33.4799999760
0.0000000000,-118.4600000000,33.4799999760
0.0000000000,-118.4591666700,33.4799999760
0.0000000000,-118.4583333300,33.4799999760
0.0000000000,-118.4575000000,33.4799999760
0.0000000000,-118.4566666700,33.4799999760
0.0000000000,-118.4558333300,33.4799999760
0.0000000000,-118.4550000000,33.4799999760
0.0000000000,-118.4541666700,33.4799999760
0.0000000000,-118.4533333300,33.4799999760
0.0000000000,-118.4525000000,33.4799999760
0.0000000000,-118.4516666700,33.4799999760
0.0000000000,-118.4508333300,33.4799999760
0.0000000000,-118.4500000000,33.4799999760
0.0000000000,-118.4491666700,33.4799999760
0.0000000000,-118.4483333300,33.4799999760
0.0000000000,-118.4475000000,33.4799999760
0.0000000000,-118.4466666700,33.4799999760
0.0000000000,-118.4458333300,33.4799999760
0.0000000000,-118.4450000000,33.4799999760
0.0000000000,-118.4441666700,33.4799999760
0.0000000000,-118.4433333300,33.4799999760
0.0000000000,-118.4425000000,33.4799999760
0.0000000000,-118.4416666700,33.4799999760
0.0000000000,-118.4408333300,33.4799999760
0.0000000000,-118.4400000000,33.4799999760
0.0000000000,-118.4391666700,33.4799999760
0.0000000000,-118.4383333300,33.4799999760
0.0000000000,-118.4375000000,33.4799999760
0.0000000000,-118.4366666700,33.4799999760
0.0000000000,-118.4358333300,33.4799999760
0.0000000000,-118.4350000000,33.4799999760
